CellType,HR,pvalue
BM_Memory CD4 T cell,1.730828346144971e-12,0.22205261216636663
BM_Naive CD8 T cell,6.175486028687124,0.18594849334405583
BM_Naive CD4 T cell,4169.826356520489,0.12743537981899533
BM_CD16 NK cell,0.7060429341251618,0.7586561474967175
BM_GZMK CD8 T cell,0.024269584419353264,0.41816612676631315
BM_Memory B cell,8.290359508973157e-13,0.20963852648347434
BM_CD16 monocyte,3.3427021759424385,0.03900097015594451
BM_PreB cell,0.4013801304252964,0.7631738668586439
BM_MHCII low CD14 monocyte,1.3539973120322912,0.637063993127083
BM_GZMB CD8 T cell,8.236188078440504e-13,0.20921955904246484
BM_Tissue-resident NK cell,1.7696984066235781,0.7410777979316403
BM_Treg cell,1.4565115027727403e-11,0.24340541639517663
BM_MHCII high CD14 monocyte,0.29044379323757136,0.5256825211382716
BM_Naive B cell,0.09113563368985572,0.5009343067891665
BM_MAIT cell,0.9904192355152145,0.9989729049338637
BM_CD56 NK cell,0.8631414589576043,0.8934693058908182
BM_Myelocyte,1.730828346144971e-12,0.22205261216636663
BM_pDC,0.1436379681233333,0.5388065360266262
BM_Cycling preB cell,0.11960677823319851,0.5406140705744165
BM_S100A+ preNeutrophil,4.524450698415185,0.4995843479889951
