cell_type,HR,p_value
NMF_Cell_Type_8,68.05127424169677,0.0020854002282281285
NMF_Cell_Type_1,0.006561473558785903,0.07875322298050237
NMF_Cell_Type_6,7.242143400413014,0.11812730737364414
NMF_Cell_Type_12,7.435432459634963,0.1511573167276218
NMF_Cell_Type_13,0.07372684842666304,0.16299835071328733
NMF_Cell_Type_5,0.1566818198387795,0.2898100324252002
NMF_Cell_Type_9,0.18987931144749534,0.3164310393640019
NMF_Cell_Type_14,0.357339127077733,0.3337868308569105
NMF_Cell_Type_7,2.873175496108166,0.3774503137850731
NMF_Cell_Type_10,2.7121468089248535,0.38685460429192
NMF_Cell_Type_2,2.3243730732872017,0.3964530958784157
NMF_Cell_Type_15,0.3089729311229752,0.4019080668833013
NMF_Cell_Type_11,0.4403796747673805,0.5470431557023034
NMF_Cell_Type_3,2.119489049794613,0.5949523989971872
NMF_Cell_Type_4,0.8238616276074999,0.8857001253422995
